Group,Year,Month,DayOfWeek,Wounded,Killed,Weapon,Region,Country,Target,MaleAttackers,FemaleAttackers
Lashkar-e Jhangvi al-Almi,2004,10,7,20,9,Belt bomb,Asia,Pakistan,Civilian,1,0
Liberation Tigers of Tamil Eelam,1997,3,1,8,1,Boat bomb,Asia,Sri Lanka,Security,2,2
Unknown Group,2007,10,4,25,8,Car bomb,Asia,Iraq,Civilian,1,0
Al-Qaeda in the Arabian Peninsula,2010,11,5,10,1,Car bomb,Asia,Yemen,Civilian,1,0
Al-Shabaab,2009,5,7,10,8,Car bomb,Africa,Somalia,Security,1,0
Unknown Group,2009,10,4,22,11,Car bomb,Asia,Pakistan,Security,1,0
Boko Haram (Shekau Faction),2017,7,5,15,14,Unspecified,Africa,Nigeria,Civilian,2,0
Taliban (IEA),2008,3,3,2,1,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2006,10,1,3,0,Other PBIED,Asia,Afghanistan,Civilian,1,0
Al-Shabaab,2017,5,5,3,3,Belt bomb,Africa,Somalia,Civilian,1,0
Islamic State,2016,12,6,27,14,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2006,9,1,0,3,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Liberation Tigers of Tamil Eelam,1995,11,6,60,20,Belt bomb,Asia,Sri Lanka,Security,1,1
Taliban (IEA),2012,9,6,69,12,Belt bomb,Asia,Afghanistan,Political,2,0
Unknown Group,2010,8,6,7,1,Belt bomb,Asia,Iraq,Security,1,0
Al-Aqsa Martyrs Brigade,2002,3,6,32,0,Belt bomb,Asia,Israel,Civilian,1,0
Unknown Group,2008,11,7,7,3,Belt bomb,Asia,Iraq,Civilian,0,1
Unknown Group,2008,3,1,73,57,Belt bomb,Asia,Iraq,Civilian,0,1
Al-Shabaab,2018,10,6,35,11,Belt bomb,Africa,Somalia,Civilian,1,0
Taliban (IEA),2007,11,5,0,0,Car bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2008,1,1,8,7,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Al-Aqsa Martyrs Brigade,2003,4,4,15,1,Belt bomb,Asia,Israel,Civilian,1,0
Popular Front for the Liberation of Palestine,2003,4,4,15,1,Belt bomb,Asia,Israel,Civilian,1,0
Jama'at Al-Tawhid Wa'al-Jihad,2004,4,6,5,3,Boat bomb,Asia,Iraq,Security,3,0
Unknown Group,2008,8,1,14,2,Other PBIED,Asia,Iraq,Security,0,1
Popular Front for the Liberation of Palestine,2004,5,6,5,0,Belt bomb,Asia,Palestine,Security,1,0
Tehrik-i-Taliban Pakistan,2007,12,7,30,13,Car bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2009,3,6,4,10,Car bomb,Asia,Afghanistan,Civilian,1,0
Unknown Group,2004,11,6,4,1,Belt bomb,Europe,Russia,Security,1,0
Unknown Group,2006,3,7,200,48,Car bomb,Asia,Iraq,Civilian,1,0
Boko Haram (Shekau Faction),2017,4,7,0,0,Unspecified PBIED,Africa,Nigeria,Security,2,0
Taliban (IEA),2008,5,7,6,1,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,7,7,12,5,Truck bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2011,5,3,21,15,Car bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2007,6,7,52,35,Belt bomb,Asia,Afghanistan,Security,1,0
Al-Shabaab,2018,4,5,3,3,Car bomb,Africa,Somalia,Security,1,0
Tehrik-i-Taliban Pakistan,2009,6,5,12,7,Belt bomb,Asia,Pakistan,Civilian,1,0
Unknown Group,2015,12,1,7,1,Belt bomb,Africa,Nigeria,Civilian,0,1
Unknown Group,2005,6,4,8,0,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2009,2,1,60,30,Belt bomb,Asia,Sri Lanka,Civilian,0,1
Hamas,2001,9,2,13,5,Belt bomb,Asia,Israel,Civilian,1,0
Unknown Group,2016,3,3,19,3,Belt bomb,Asia,Afghanistan,Political,1,0
Islamic State,2014,8,5,0,0,Car bomb,Asia,Syria,Security,1,0
Islamic State,2015,8,5,5,5,Car bomb,Asia,Iraq,Security,1,0
Islamic State,2014,7,5,25,18,Car bomb,Asia,Iraq,Security,1,0
Islamic State of Iraq and Syria,2013,9,6,35,21,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2008,3,4,18,1,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2010,12,5,20,11,Car bomb,Asia,Pakistan,Civilian,1,0
Unknown Group,2008,3,1,26,1,Car bomb,Asia,Iraq,Civilian,1,0
Kurdistan Workers' Party,2007,5,7,100,6,Belt bomb,Asia,Turkey,Civilian,1,0
Islamic State of Iraq,2010,9,7,25,12,Belt bomb,Asia,Iraq,Security,2,0
Unknown Group,2010,2,1,109,54,Belt bomb,Asia,Iraq,Civilian,0,1
Unknown Group,2009,9,4,35,20,Truck bomb,Asia,Iraq,Civilian,1,0
Islamic State,2018,1,5,0,0,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2010,3,1,3,2,Belt bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2007,10,1,3,2,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,12,4,15,5,Truck bomb,Asia,Iraq,Political,1,0
Jamaatul Mujahideen Bangladesh,2017,5,7,0,0,Belt bomb,Asia,Bangladesh,Security,1,0
Unknown Group,2010,11,3,3,0,Belt bomb,Asia,Afghanistan,Civilian,1,0
Unknown Group,2008,6,7,0,1,Other PBIED,Asia,Afghanistan,Political,1,0
Taliban (IEA),2017,9,1,9,0,Car bomb,Asia,Afghanistan,Security,1,0
Assirat al-Moustaqim,2003,5,5,70,20,Backpack bomb,Africa,Morocco,Civilian,4,0
Al-Qaeda Central,2003,5,5,70,20,Backpack bomb,Africa,Morocco,Civilian,4,0
Tehrik-i-Taliban Pakistan,2008,11,1,17,10,Car bomb,Asia,Pakistan,Security,1,0
Unknown Group,2008,1,3,4,0,Car bomb,Asia,Afghanistan,Security,1,0
Islamic State of Iraq,2007,9,4,0,4,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,6,1,23,1,Car bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2008,10,4,28,14,Car bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2006,7,2,105,60,Car bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2017,3,2,0,0,Car bomb,Asia,Syria,Security,1,0
Unknown Group,2004,4,5,0,2,Belt bomb,Asia,Iraq,Political,1,0
Islamic State - Najd Province,2015,5,5,4,4,Belt bomb,Asia,Saudi Arabia,Civilian,1,0
Tehrik-i-Taliban Pakistan,2016,2,6,40,12,Other VBIED,Asia,Pakistan,Security,1,0
Islamic State,2014,7,1,5,5,Car bomb,Asia,Syria,Security,1,0
Unknown Group,2008,2,5,9,6,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2014,4,3,18,4,Belt bomb,Asia,Iraq,Political,1,0
Jama'at Al-Tawhid Wa'al-Jihad,2003,8,2,100,22,Truck bomb,Asia,Iraq,Political,1,0
Mujahideen Shura Council Iraq,2009,9,2,14,1,Car bomb,Europe,Russia,Security,1,0
Unknown Group,2007,12,7,5,6,Car bomb,Asia,Pakistan,Security,1,0
Unknown Group,2009,1,6,13,5,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2009,12,1,10,3,Belt bomb,Asia,Iraq,Political,1,0
Taliban (IEA),2009,9,7,17,4,Car bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2010,6,3,87,40,Belt bomb,Asia,Afghanistan,Civilian,1,0
Taliban (IEA),2008,8,3,0,0,Belt bomb,Asia,Afghanistan,Security,1,0
Tehrik-i-Taliban Pakistan,2009,8,7,17,4,Other PBIED,Asia,Pakistan,Security,1,0
Kurdistan Workers' Party,1996,6,7,30,9,Belt bomb,Asia,Turkey,Security,0,1
Islamic State,2016,10,6,61,35,Belt bomb,Asia,Iraq,Civilian,1,0
Al-Qaeda in the Arabian Peninsula,2012,9,6,13,1,Belt bomb,Asia,Yemen,Security,1,0
Unknown Group,2009,11,4,50,20,Belt bomb,Asia,Pakistan,Political,1,0
Al-Shabaab,2015,7,7,20,17,Car bomb,Africa,Somalia,Political,1,0
Tehrik-i-Taliban Pakistan,2009,10,4,20,10,Car bomb,Asia,Pakistan,Security,1,0
Unknown Group,2010,5,6,0,0,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2017,6,1,0,0,Belt bomb,Africa,Nigeria,Security,0,1
Unknown Group,2008,11,3,0,0,Belt bomb,Asia,Afghanistan,Security,1,0
Tehrik-i-Taliban Pakistan,2009,12,1,70,43,Belt bomb,Asia,Pakistan,Civilian,1,0
Unknown Group,2010,8,2,3,1,Belt bomb,Europe,Russia,Security,1,0
Taliban (IEA),2010,11,3,6,2,Truck bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2005,8,7,52,0,Backpack bomb,Asia,Israel,Civilian,1,0
Hamas,1995,6,7,3,0,Animal bomb,Asia,Palestine,Security,1,0
Unknown Group,2008,11,4,5,0,Belt bomb,Asia,Iraq,Political,1,0
Al-Aqsa Martyrs Brigade,2003,11,1,1,0,Belt bomb,Asia,Palestine,Security,1,0
Islamic State West Africa Province,2015,10,6,10,1,Belt bomb,Africa,Nigeria,Security,0,4
Islamic State - Wilayat Hind,2015,12,5,10,0,Belt bomb,Asia,Bangladesh,Civilian,1,0
Palestinian Islamic Jihad,2003,7,2,0,2,Belt bomb,Asia,Israel,Civilian,1,0
Al-Aqsa Martyrs Brigade,2003,7,2,0,2,Belt bomb,Asia,Israel,Civilian,1,0
Lashkar-e Jhangvi al-Almi,2009,9,5,65,33,Car bomb,Asia,Pakistan,Civilian,1,0
Unknown Group,2016,2,1,5,6,Car bomb,Asia,Yemen,Security,1,0
Taliban (IEA),2009,11,4,3,2,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2017,6,5,21,12,Unspecified PBIED,Asia,Iraq,Civilian,1,0
Islamic State of Iraq and Syria,2014,1,4,77,6,Car bomb,Asia,Lebanon,Civilian,1,0
Unknown Group,2005,6,1,0,4,Car bomb,Asia,Iraq,Security,1,0
Al-Qaeda in the Arabian Peninsula,2012,6,1,0,3,Belt bomb,Asia,Yemen,Security,1,0
Unknown Group,2006,7,7,25,25,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2017,4,7,0,0,Unspecified PBIED,Africa,Nigeria,Civilian,0,1
Boko Haram,2015,2,2,0,34,Belt bomb,Africa,Nigeria,Civilian,2,0
Hay¡˜at Tahrir al-Sham,2017,3,6,0,20,Unspecified,Asia,Syria,Civilian,1,0
Taliban (IEA),2008,1,4,4,1,Other PBIED,Asia,Afghanistan,Security,1,0
Taliban (IEA),2008,1,7,8,1,Belt bomb,Asia,Afghanistan,Security,1,0
Islamic State of Iraq,2006,10,6,0,5,Car bomb,Asia,Iraq,Security,1,0
Islamic State,2015,5,5,12,12,Unspecified,Asia,Iraq,Security,1,0
Liberation Tigers of Tamil Eelam,2008,4,7,90,14,Other PBIED,Asia,Sri Lanka,Political,1,0
Unknown Group,2006,12,1,5,1,Car bomb,Asia,Iraq,Security,1,0
Liberation Tigers of Tamil Eelam,1994,11,2,0,0,Boat bomb,Asia,Sri Lanka,Security,1,0
Unknown Group,2006,10,1,6,0,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,2,2,20,7,Belt bomb,Asia,Iraq,Civilian,1,0
Tehrik-i-Taliban Pakistan,2010,9,5,4,1,Belt bomb,Asia,Pakistan,Civilian,1,0
Islamic State West Africa Province,2015,7,1,3,1,Belt bomb,Africa,Nigeria,Security,1,0
Unknown Group,2007,9,1,59,28,Belt bomb,Asia,Afghanistan,Security,1,0
Popular Front for the Liberation of Palestine,2002,5,7,55,3,Belt bomb,Asia,Israel,Civilian,1,0
Hamas,2002,5,7,55,3,Belt bomb,Asia,Israel,Civilian,1,0
Lashkar-e Jhangvi al-Almi,2010,4,5,35,13,Belt bomb,Asia,Pakistan,Civilian,1,0
Islamic State,2014,12,3,22,9,Truck bomb,Asia,Iraq,Security,1,0
Unknown Group,2006,8,2,2,0,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2013,10,6,0,4,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2008,4,5,30,20,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2010,7,7,46,45,Belt bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2010,7,6,3,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2010,7,7,20,4,Unspecified PBIED,Asia,Pakistan,Civilian,1,0
Hamas,1997,3,5,48,3,Belt bomb,Asia,Israel,Civilian,1,0
Liberation Tigers of Tamil Eelam,1987,7,7,27,55,Truck bomb,Asia,Sri Lanka,Security,1,0
Jama'at Al-Tawhid Wa'al-Jihad,2004,5,6,13,5,Car bomb,Asia,Iraq,Political,1,0
Taliban (IEA),2010,11,3,4,2,Car bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2008,12,5,6,5,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2006,6,3,0,0,Motorcycle bomb,Asia,Afghanistan,Civilian,1,0
Unknown Group,2017,6,7,15,8,Unspecified PBIED,Africa,Nigeria,Civilian,0,1
Lashkar-e Jhangvi al-Almi,2010,4,6,71,44,Belt bomb,Asia,Pakistan,Civilian,2,0
Unknown Group,2004,12,3,4,2,Car bomb,Asia,Saudi Arabia,Security,1,0
Islamic State,2015,11,7,5,2,Car bomb,Asia,Syria,Security,1,0
Taliban (IEA),2009,6,2,2,6,Belt bomb,Asia,Afghanistan,Civilian,1,0
Lashkar-e Jhangvi al-Almi,2010,12,2,10,1,Belt bomb,Asia,Pakistan,Political,1,0
Taliban (IEA),2009,11,3,5,2,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2010,1,6,9,4,Car bomb,Asia,Pakistan,Security,1,0
Boko Haram (Shekau Faction),2017,12,5,0,0,Belt bomb,Africa,Cameroon,Security,0,2
Taliban Splinter (Mullah Rasool),2017,6,3,5,11,Car bomb,Asia,Afghanistan,Security,1,0
Al-Qaeda Central,2008,6,1,35,8,Belt bomb,Asia,Pakistan,Political,1,0
Taliban (IEA),2008,6,1,35,8,Belt bomb,Asia,Pakistan,Political,1,0
Ansar al-Sharia (Yemen),2012,5,1,311,101,Belt bomb,Asia,Yemen,Security,1,0
Taliban (IEA),2011,9,3,21,4,Truck bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2012,3,3,20,14,Car bomb,Asia,Iraq,Civilian,1,0
Liberation Tigers of Tamil Eelam,1999,8,1,3,1,Belt bomb,Asia,Sri Lanka,Security,1,0
Liberation Tigers of Tamil Eelam,1998,2,1,0,46,Boat bomb,Asia,Sri Lanka,Security,5,5
Unknown Group,2007,8,5,20,5,Truck bomb,Asia,Pakistan,Security,1,0
Islamic State West Africa Province,2016,5,4,5,0,Motorcycle bomb,Africa,Nigeria,Civilian,1,0
Al-Shabaab,2009,6,4,45,31,Car bomb,Africa,Somalia,Political,1,0
Unknown Group,2009,3,3,5,4,Belt bomb,Asia,Pakistan,Political,2,0
Taliban (IEA),2012,2,7,19,9,Car bomb,Asia,Afghanistan,Security,1,0
Boko Haram (Shekau Faction),2017,5,1,7,2,Belt bomb,Africa,Nigeria,Civilian,0,3
Islamic State,2016,5,7,22,7,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2018,1,3,22,3,Unspecified PBIED,Africa,Nigeria,Civilian,0,1
Islamic State,2015,3,7,8,3,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2017,12,7,28,1,Belt bomb,Africa,Cameroon,Civilian,0,1
Al-Qaeda in Iraq,2006,7,1,6,4,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2015,9,5,20,7,Belt bomb,Africa,Nigeria,Civilian,0,2
Unknown Group,2006,2,2,12,23,Belt bomb,Asia,Iraq,Civilian,1,0
Riyadus Salikhiin,2002,12,5,200,72,Truck bomb,Europe,Russia,Political,2,1
Unknown Group,2014,5,3,11,21,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2008,5,3,7,1,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,7,2,8,7,Car bomb,Asia,Iraq,Security,1,0
Abdullah Azzam Brigades,2004,10,5,121,27,Car bomb,Africa,Egypt,Civilian,1,0
Palestinian Islamic Jihad,2004,10,5,121,27,Car bomb,Africa,Egypt,Civilian,1,0
Jamaa Al-Islamiya Al-Alamiya,2004,10,5,121,27,Car bomb,Africa,Egypt,Civilian,1,0
Al-Qaeda Central,2004,10,5,121,27,Car bomb,Africa,Egypt,Civilian,1,0
Islamic Unity Brigades,2004,10,5,121,27,Car bomb,Africa,Egypt,Civilian,1,0
Islamic State,2016,3,5,105,41,Belt bomb,Asia,Iraq,Political,1,0
Unknown Group,2018,6,1,12,3,Unspecified,Africa,Niger,Civilian,0,1
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2012,2,5,100,11,Car bomb,Asia,Syria,Security,1,0
Abdullah Azzam Brigades,2013,11,2,160,23,Motorcycle bomb,Asia,Lebanon,Political,1,0
Unknown Group,2011,2,4,20,8,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2010,2,1,15,30,Belt bomb,Asia,Afghanistan,Political,1,0
Islamic State of Iraq,2008,1,7,17,9,Belt bomb,Asia,Iraq,Security,1,0
Tehrik-i-Taliban Pakistan,2011,6,6,24,10,Belt bomb,Asia,Pakistan,Security,1,1
Taliban (IEA),2009,3,1,29,11,Belt bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2009,1,3,3,2,Car bomb,Asia,Afghanistan,Security,1,0
Tehrik-i-Taliban Pakistan,2009,12,1,50,12,Belt bomb,Asia,Pakistan,Political,1,0
Unknown Group,2007,7,6,255,156,Truck bomb,Asia,Iraq,Civilian,1,0
Al-Shabaab,2014,5,6,15,1,Belt bomb,Africa,Djibouti,Security,1,1
Unknown Group,2006,9,4,23,10,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2016,10,2,9,1,Belt bomb,Africa,Nigeria,Civilian,0,1
Unknown Group,2007,1,1,7,3,Belt bomb,Asia,Pakistan,Security,1,0
Islamic State of Iraq and Syria,2013,12,3,52,25,Belt bomb,Asia,Iraq,Civilian,1,0
Hamas,2006,11,4,5,0,Belt bomb,Asia,Palestine,Security,0,1
Unknown Group,2011,2,4,4,0,Belt bomb,Asia,Iraq,Civilian,1,0
Taliban (IEA),2008,6,3,23,1,Car bomb,Asia,Afghanistan,Political,1,0
Islamic State - Khorasan Province,2018,7,7,107,23,Belt bomb,Asia,Afghanistan,Political,1,0
Islamic State of Iraq,2007,4,5,35,15,Truck bomb,Asia,Iraq,Security,1,0
Liberation Tigers of Tamil Eelam,1994,9,1,0,35,Boat bomb,Asia,Sri Lanka,Security,2,2
Islamic State Yemen,2015,9,4,36,25,Belt bomb,Asia,Yemen,Civilian,1,0
Unknown Group,2006,2,3,60,9,Belt bomb,Asia,Iraq,Civilian,1,0
Taliban (IEA),2008,5,4,5,3,Car bomb,Asia,Afghanistan,Security,1,0
Jama'at Al-Tawhid Wa'al-Jihad,2004,1,5,38,4,Belt bomb,Asia,Iraq,Civilian,1,0
Taliban (IEA),2012,5,4,0,0,Belt bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2011,6,2,2,12,Belt bomb,Asia,Afghanistan,Civilian,1,0
Islamic Jihad Organization (Hezbollah),1984,9,4,40,23,Truck bomb,Asia,Lebanon,Political,1,0
Unknown Group,2007,5,1,15,15,Truck bomb,Asia,Iraq,Civilian,1,0
Al-Qaeda Central,2003,5,1,60,13,Car bomb,Asia,Saudi Arabia,Security,4,0
Islamic State,2018,9,1,4,1,Belt bomb,Asia,Iraq,Security,1,0
Islamic State,2016,10,7,0,16,Car bomb,Asia,Iraq,Security,2,0
Islamic State,2015,7,7,23,8,Car bomb,Asia,Iraq,Security,1,0
Al-Aqsa Martyrs Brigade,2004,9,2,4,0,Belt bomb,Asia,Palestine,Security,1,0
Karwan-e Naimatullah,2008,11,4,50,22,Car bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2019,8,6,4,0,Car bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2010,11,6,22,3,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2006,10,3,3,2,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,5,1,8,2,Car bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2007,9,5,8,1,Car bomb,Asia,Afghanistan,Security,1,0
Al-Aqsa Martyrs Brigade,2002,3,6,57,11,Belt bomb,Asia,Israel,Civilian,1,0
Taliban (IEA),2017,6,7,9,3,Car bomb,Asia,Afghanistan,Security,1,0
Hizbul Islam in Somalia,2010,9,1,1,0,Belt bomb,Africa,Somalia,Security,1,0
Revolutionary People's Liberation Party/Front,2013,2,5,3,1,Belt bomb,Asia,Turkey,Political,1,0
Unknown Group,2006,11,4,27,9,Car bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2010,7,7,39,4,Belt bomb,Asia,Iraq,Political,0,1
Islamic State West Africa Province,2015,12,7,24,6,Belt bomb,Africa,Nigeria,Security,1,0
Hamas,2002,3,7,40,15,Belt bomb,Asia,Israel,Civilian,1,0
Unknown Group,2009,3,6,5,4,Belt bomb,Asia,Pakistan,Security,1,0
Islamic State of Iraq and Syria,2014,3,3,7,3,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2006,3,5,0,0,Car bomb,Asia,Afghanistan,Security,1,0
Islamic State Yemen,2018,2,6,21,3,Car bomb,Asia,Yemen,Security,1,0
Taliban (IEA),2009,6,1,7,3,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,12,4,22,10,Belt bomb,Asia,Pakistan,Security,2,0
Islamic State of Iraq and Syria,2014,1,1,0,2,Car bomb,Asia,Syria,Security,1,0
Boko Haram (Shekau Faction),2017,4,3,0,0,Unspecified PBIED,Africa,Nigeria,Security,2,0
Islamic State of Iraq,2006,11,6,10,4,Car bomb,Asia,Iraq,Security,0,1
Unknown Group,2015,4,5,0,0,Car bomb,Africa,Libya,Security,1,0
Taliban (IEA),2008,3,4,20,6,Car bomb,Asia,Afghanistan,Security,1,0
Palestinian Islamic Jihad,2002,3,2,20,1,Belt bomb,Asia,Israel,Civilian,1,0
Unknown Group,2009,2,4,50,30,Belt bomb,Asia,Pakistan,Civilian,1,0
Tehrik-i-Taliban Pakistan,2008,9,6,70,40,Car bomb,Asia,Pakistan,Security,1,0
Islamic State,2016,5,7,38,16,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2016,11,1,6,6,Belt bomb,Asia,Iraq,Security,1,0
Liberation Tigers of Tamil Eelam,2000,10,4,23,1,Belt bomb,Asia,Sri Lanka,Political,1,0
Unknown Group,2007,4,7,22,2,Car bomb,Asia,Iraq,Security,2,0
Syrian Social Nationalist Party,1990,11,7,2,0,Backpack bomb,Asia,Lebanon,Security,0,1
Lebanese National Resistance Front,1990,11,7,2,0,Backpack bomb,Asia,Lebanon,Security,0,1
Taliban (IEA),2011,12,5,0,5,Belt bomb,Asia,Afghanistan,Security,1,0
Liberation Tigers of Tamil Eelam,2000,8,2,6,1,Belt bomb,Asia,Sri Lanka,Security,0,1
Islamic State,2014,7,4,6,6,Truck bomb,Asia,Syria,Security,1,0
Taliban (IEA),2007,9,1,7,8,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2009,7,4,32,7,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2008,10,1,0,7,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,6,2,5,1,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2008,8,1,2,2,Belt bomb,Asia,Afghanistan,Civilian,1,0
Islamic State,2016,4,1,10,4,Car bomb,Asia,Iraq,Security,1,0
Al-Qaeda Central,2002,11,4,80,13,Car bomb,Africa,Kenya,Civilian,3,0
Army of Palestine,2002,11,4,80,13,Car bomb,Africa,Kenya,Civilian,3,0
Unknown Group,2010,4,1,101,45,Car bomb,Asia,Pakistan,Political,1,0
Unknown Group,2018,10,6,20,18,Unspecified PBIED,Asia,Afghanistan,Political,1,0
Islamic State - Khorasan Province,2017,5,1,0,0,Car bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2017,5,1,0,0,Car bomb,Asia,Afghanistan,Security,1,0
Islamic State of Iraq and Syria,2014,4,5,22,40,Mixed,Asia,Iraq,Security,3,0
Popular Front for the Liberation of Palestine,2004,11,1,40,5,Belt bomb,Asia,Israel,Civilian,1,0
Hezbollah,1989,8,3,6,0,Truck bomb,Asia,Lebanon,Security,1,0
Unknown Group,2005,7,3,16,2,Belt bomb,Asia,Iraq,Civilian,1,0
Al-Qaeda in Iraq,2005,6,6,11,11,Car bomb,Asia,Iraq,Security,1,0
Kurdistan Workers' Party,1998,12,4,22,1,Belt bomb,Asia,Turkey,Security,0,1
Tehrik-i-Taliban Pakistan,2010,12,6,102,45,Belt bomb,Asia,Pakistan,Political,0,1
Al-Qaeda in the Land of the Islamic Maghreb,2010,7,7,8,1,Car bomb,Africa,Algeria,Security,1,0
Taliban (IEA),2018,1,5,12,4,Car bomb,Asia,Afghanistan,Security,1,0
Al-Qaeda in the Arabian Peninsula,2017,5,3,6,1,Belt bomb,Asia,Yemen,Security,1,0
Taliban (IEA),2012,7,3,3,3,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2005,6,4,13,10,Car bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2006,12,7,3,1,Car bomb,Asia,Afghanistan,Security,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2013,9,3,0,8,Car bomb,Asia,Syria,Security,1,0
Islamic State,2015,11,6,19,7,Car bomb,Asia,Iraq,Security,1,0
Great Eastern Islamic Raiders Front,2003,11,4,350,17,Car bomb,Asia,Turkey,Political,1,0
Al-Qaeda Central,2003,11,4,350,17,Car bomb,Asia,Turkey,Political,1,0
Unknown Group,2007,1,5,7,1,Belt bomb,Asia,Pakistan,Civilian,1,0
Islamic State - Tripolitania Province,2015,5,4,5,2,Car bomb,Africa,Libya,Security,1,0
Unknown Group,2009,7,4,70,35,Belt bomb,Asia,Iraq,Security,2,0
Tehrik-i-Taliban Pakistan,2010,12,1,65,50,Belt bomb,Asia,Pakistan,Political,2,0
Palestinian Islamic Jihad,2006,1,4,30,0,Belt bomb,Asia,Israel,Civilian,1,0
Taliban (IEA),2006,12,2,11,0,Car bomb,Asia,Afghanistan,Security,1,0
Ansar al-Islam,2003,3,6,9,5,Car bomb,Asia,Iraq,Civilian,1,0
Islamic State Yemen,2015,3,5,178,68,Belt bomb,Asia,Yemen,Civilian,2,0
Al-Qaeda in the Arabian Peninsula,2015,3,5,178,68,Belt bomb,Asia,Yemen,Civilian,2,0
Unknown Group,2009,6,2,11,4,Mixed,Asia,Pakistan,Civilian,1,0
Islamic State of Iraq and Syria,2014,5,6,13,10,Car bomb,Asia,Iraq,Security,1,0
Islamic State of Iraq,2009,8,3,250,59,Truck bomb,Asia,Iraq,Political,1,0
Islamic State,2014,12,7,13,4,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2015,12,1,1,0,Belt bomb,Africa,Cameroon,Civilian,0,2
Taliban (IEA),2010,12,5,2,2,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,11,3,12,0,Car bomb,Asia,Iraq,Political,1,0
Taliban (IEA),2006,1,1,20,20,Motorcycle bomb,Asia,Afghanistan,Civilian,1,0
Unknown Group,2008,2,7,37,34,Car bomb,Asia,Iraq,Security,1,0
Islamic State,2016,1,1,26,12,Belt bomb,Asia,Iraq,Security,1,0
